feature,coefficient
relative_rating_diff,0.3766063504652302
b_power_diff,0.3140687146477119
d_rate_diff,0.3123869758466416
o_rate_diff,0.30544847797096447
net_rpi_diff,0.289378679605412
elite_sos_diff,0.23122209077774503
kadj_o_diff,0.2089087223387563
kadj_em_diff,0.16858383872788424
wab_rank_diff,0.13852213611051267
talent_diff,0.1296886936394941
barthag_diff,0.07659933960449909
injury_rank_diff,0.0
roster_rank_diff,0.0
resume_diff,-0.009580901626529581
exp_diff,-0.013966165139000408
kadj_d_diff,-0.047372538731558875
elo_diff,-0.317631408263722
