TEAM,TEAM NO,SEED,KADJ EM,KADJ O,KADJ D,BARTHAG,ELITE SOS,TALENT,EXP,O RATE,D RATE,RELATIVE RATING,INJURY RANK,ROSTER RANK,NET RPI,RESUME,WAB RANK,ELO,B POWER,Q1 W,Q2 W,R64,R32,S16,E8,F4,FINALS,KADJ EM_z,KADJ O_z,BARTHAG_z,ELITE SOS_z,TALENT_z,EXP_z,O RATE_z,RELATIVE RATING_z,RESUME_z,ELO_z,KADJ D_z,D RATE_z,NET RPI_z,WAB RANK_z,INJURY RANK_z,ROSTER RANK_z,model_score
Michigan,1184,1,37.592,126.626,89.0343,0.98,41.856,69.852,1.947,17.37339906,17.12372885,34.49712792,1.0,1.0,2,2,1,3,2.0,16,6,,,,,,,1.7089755292556212,1.0970826533681852,0.9616071642208073,1.3008795376416133,1.1430591849558644,0.1245282172217369,1.350836512303358,1.7974427631200596,-0.9554892657055746,-0.9729589357678181,2.045230414507733,-1.9582573435504962,0.8990912509964806,0.969398164020444,0.9439672558915646,0.9204074376528085,7.335950565316225
Duke,1207,1,38.8998,127.956,89.0562,0.981,38.433,91.161,0.856,17.46290754,17.3701003,34.83300784,2.0,2.0,1,1,2,1,1.0,17,6,,,,,,,1.8166853728451995,1.2781935487917169,0.96665965125272,1.0230873541327359,1.9169343654051463,-2.724222747701533,1.3645956846947325,1.8286517664619764,-0.9688913428648112,-1.012328889729265,2.0417017660701413,-2.003958192049649,0.9134936550171544,0.9522496012854309,0.9291359773794051,0.9078396252511236,6.891615857455962
Arizona,1213,1,37.6556,127.676,90.0201,0.978,38.751,73.506,1.406,15.56147732,16.48353715,32.04501447,3.0,5.0,3,3,3,2,3.0,16,8,,,,,,,1.714213597807615,1.2400649392288678,0.9515021901569818,1.0488945157908787,1.2757608560507856,-1.288097146686136,1.072309342806803,1.5695993813072726,-0.9420871885463379,-0.9926439127485417,1.8863928971663022,-1.8395045258351526,0.8846888469758066,0.9351010385504178,0.9143046988672455,0.8701361880460687,6.525937710227442
Houston,1199,2,33.4265,124.864,91.4372,0.971,36.826,81.968,1.553,14.1776245,16.76210683,30.93973133,5.0,6.0,5,5,4,8,4.7,10,9,,,,,,,1.365906746970572,0.8571447603334009,0.9161347809335924,0.8926719177030644,1.583073811936178,-0.9042599405965661,0.8595845874018448,1.4668996271510137,-0.9152830342278647,-0.8745340508642008,1.6580619519192514,-1.8911780080594016,0.8558840389344589,0.9179524758154047,0.8846421418429266,0.8575683756443838,5.8266913710008295
Florida,1206,1,33.7928,125.535,91.7424,0.973,39.255,41.689,1.928,15.78875922,15.64875133,31.43751054,4.0,4.0,4,8,5,7,4.3,12,6,,,,,,,1.3960750568855915,0.9485172496786555,0.926239754997418,1.089796432381143,0.12026849994046593,0.07491660555029558,1.107246935798429,1.5131518503515748,-0.8750768027501549,-0.8942190278449242,1.6088864494921824,-1.6846553325172546,0.8702864429551328,0.9008039130803918,0.899473420355086,0.8827040004477538,5.680185050879693
Iowa St.,1194,2,32.423,123.826,91.4031,0.966,35.368,50.469,1.944,13.50895757,15.95241629,29.46137385,7.0,10.0,6,10,10,13,6.3,8,10,,,,,,,1.2832589200535043,0.7157965577396957,0.8908723457740286,0.7743485161383717,0.4391302055270583,0.11669480485256171,0.7567976384749826,1.3295348703240286,-0.8482726484316817,-0.7761091659605833,1.6635563314499313,-1.7409838816712302,0.841481634913785,0.8150610994053265,0.8549795848186075,0.8072971260376441,5.347977382042173
Purdue,1173,2,31.1992,131.635,100.436,0.964,41.305,59.3,2.015,22.30041367,7.999941763,30.30035544,6.0,3.0,7,4,7,10,8.3,11,6,,,,,,,1.182467280211842,1.779176243726432,0.880767371710203,1.2561633550201141,0.7598440690845976,0.302085564256368,2.108213281452049,1.4074906446558684,-0.9286851113871013,-0.8351640969027537,0.20812580761810456,-0.265833925977107,0.8270792308931111,0.8665067876103656,0.869810863330767,0.8952718128494387,5.1716007053379585
Illinois,1196,3,32.1008,131.176,99.0756,0.968,38.28,63.056,1.548,18.93805662,9.224944952,28.16300158,8.0,7.0,9,15,18,19,6.7,7,5,,,,,,,1.2567226671061404,1.7166725587644758,0.9009773198378541,1.01067070088212,0.8962500561214132,-0.917315627878524,1.5913544286114802,1.2088938254128538,-0.7812622626354987,-0.6579993040762424,0.4273209370472838,-0.4930667695207389,0.7982744228517633,0.677872597525222,0.840148306306448,0.8450005632426989,4.943174647578719
Connecticut,1208,2,27.8694,121.986,94.1163,0.952,33.294,84.266,1.997,14.97698541,12.71936944,27.69635485,9.0,8.0,12,9,6,9,10.3,7,11,,,,,,,0.9082263892617143,0.46523712346954793,0.82013752732725,0.606033883185578,1.6665298710976801,0.2550850900413186,0.9824617110399168,1.1655343433811076,-0.8616747255909183,-0.8548490738834773,1.2263906263872706,-1.14126754163868,0.7550672107897416,0.8836553503453787,0.8253170277942884,0.832432750841014,4.852928339247337
Michigan St.,1183,3,28.31,123.049,94.7386,0.944,37.86,68.794,1.815,12.64662425,11.96760069,24.61422494,11.0,16.0,11,16,11,15,11.3,9,5,,,,,,,0.9445140151109023,0.6099896662027922,0.7797176310719478,0.9765857703902332,1.1046359862644504,-0.22014192702195873,0.6242404460312476,0.8791516305907426,-0.767860185476262,-0.7367392119991364,1.1261222280898735,-1.0018176591537278,0.7694696148104155,0.7979125366703134,0.7956544707699694,0.7318902516275345,4.468894269839055
