TEAM,TEAM NO,SEED,KADJ EM,KADJ O,KADJ D,BARTHAG,ELITE SOS,TALENT,EXP,O RATE,D RATE,RELATIVE RATING,INJURY RANK,ROSTER RANK,NET RPI,RESUME,WAB RANK,ELO,B POWER,Q1 W,Q2 W,R64,R32,S16,E8,F4,FINALS
Arizona,1213,1,37.6556,127.676,90.0201,0.978,38.751,73.506,1.406,15.56147732,16.48353715,32.04501447,3.0,5.0,3,3,3,2,3.0,16,8,,,,,,
Duke,1207,1,38.8998,127.956,89.0562,0.981,38.433,91.161,0.856,17.46290754,17.3701003,34.83300784,2.0,2.0,1,1,2,1,1.0,17,6,,,,,,
Florida,1206,1,33.7928,125.535,91.7424,0.973,39.255,41.689,1.928,15.78875922,15.64875133,31.43751054,4.0,4.0,4,8,5,7,4.3,12,6,,,,,,
Michigan,1184,1,37.592,126.626,89.0343,0.98,41.856,69.852,1.947,17.37339906,17.12372885,34.49712792,1.0,1.0,2,2,1,3,2.0,16,6,,,,,,
Connecticut,1208,2,27.8694,121.986,94.1163,0.952,33.294,84.266,1.997,14.97698541,12.71936944,27.69635485,9.0,8.0,12,9,6,9,10.3,7,11,,,,,,
Houston,1199,2,33.4265,124.864,91.4372,0.971,36.826,81.968,1.553,14.1776245,16.76210683,30.93973133,5.0,6.0,5,5,4,8,4.7,10,9,,,,,,
Iowa St.,1194,2,32.423,123.826,91.4031,0.966,35.368,50.469,1.944,13.50895757,15.95241629,29.46137385,7.0,10.0,6,10,10,13,6.3,8,10,,,,,,
Purdue,1173,2,31.1992,131.635,100.436,0.964,41.305,59.3,2.015,22.30041367,7.999941763,30.30035544,6.0,3.0,7,4,7,10,8.3,11,6,,,,,,
Gonzaga,1203,3,28.1006,121.99,93.8895,0.944,24.986,36.781,2.11,11.77925483,14.10526985,25.88452468,12.0,13.0,8,28,17,5,9.7,7,4,,,,,,
Illinois,1196,3,32.1008,131.176,99.0756,0.968,38.28,63.056,1.548,18.93805662,9.224944952,28.16300158,8.0,7.0,9,15,18,19,6.7,7,5,,,,,,
Michigan St.,1183,3,28.31,123.049,94.7386,0.944,37.86,68.794,1.815,12.64662425,11.96760069,24.61422494,11.0,16.0,11,16,11,15,11.3,9,5,,,,,,
Virginia,1150,3,26.7098,122.516,95.8064,0.943,30.582,53.814,1.724,12.64728609,11.48374584,24.13103194,13.0,23.0,10,13,8,6,15.7,8,9,,,,,,
Alabama,1214,4,25.7196,129.004,103.284,0.934,40.729,73.555,1.526,17.28740381,5.920505263,23.20790907,17.0,15.0,18,14,14,23,16.7,7,9,,,,,,
Arkansas,1212,4,26.0527,127.658,101.605,0.934,38.371,80.525,1.457,17.11457705,6.709381875,23.82395893,15.0,11.0,16,17,15,11,19.0,8,8,,,,,,
Kansas,1193,4,24.4399,118.33,93.8906,0.928,41.65,57.848,1.629,8.610666895,13.27085144,21.88151833,19.0,18.0,21,7,16,21,21.3,9,7,,,,,,
Nebraska,1181,4,26.1577,118.544,92.3865,0.931,35.291,42.458,2.26,8.269946122,14.16986873,22.43981486,18.0,32.0,14,12,12,20,16.7,9,6,,,,,,
St. John's,1165,5,25.9079,120.068,94.1597,0.941,31.162,70.084,2.3,10.77297487,14.68097591,25.45395078,10.0,12.0,15,22,13,4,15.7,5,11,,,,,,
Texas Tech,1159,5,25.2243,125.05,99.8259,0.944,40.139,41.675,1.601,11.54237863,6.787035957,18.32941459,33.0,35.0,19,18,19,30,18.3,7,5,,,,,,
Vanderbilt,1153,5,27.5051,126.805,99.2995,0.946,37.121,35.964,2.308,16.04931714,7.970568512,24.01988565,14.0,14.0,13,6,9,16,11.7,10,7,,,,,,
Wisconsin,1149,5,23.3936,125.348,101.954,0.929,38.176,38.623,1.871,15.74631291,6.449820723,22.19613363,25.0,28.0,25,11,20,18,22.3,8,5,,,,,,
BYU,1211,6,23.2459,125.46,102.214,0.887,38.234,48.949,1.463,9.924997579,6.661667488,16.58666507,39.0,19.0,22,21,22,38,24.7,7,8,,,,,,
